"","Gen","variable","value","FracOfAll"
"28335",41,"746",0,0
"28345",51,"746",0,0
"28355",61,"746",0,0
"28365",71,"746",0,0
"28375",81,"746",0,0
"28385",91,"746",0,0
"28395",101,"746",0,0
"28405",111,"746",0,0
"28415",121,"746",0,0
"28425",131,"746",0,0
"28435",141,"746",0,0
"28445",151,"746",0,0
"28455",161,"746",0,0
"28465",171,"746",0,0
"28475",181,"746",0,0
"28485",191,"746",0,0
"28495",201,"746",0,0
"28505",211,"746",0,0
"28515",221,"746",0,0
"28525",231,"746",0,0
"28535",241,"746",0,0
"28545",251,"746",0,0
"28555",261,"746",0,0
"28565",271,"746",0,0
"28575",281,"746",0,0
"28585",291,"746",0,0
"28594",300,"746",0,0
"28596",1,"752",0,0
"28606",11,"752",0,0
"28616",21,"752",0,0
"28626",31,"752",0,0
"28636",41,"752",0,0
"28646",51,"752",0,0
"28656",61,"752",0,0
"28666",71,"752",0,0
"28676",81,"752",0,0
"28686",91,"752",0,0
"28696",101,"752",0,0
"28706",111,"752",0,0
"28716",121,"752",0,0
"28726",131,"752",0,0
"28736",141,"752",0,0
"28746",151,"752",0,0
"28756",161,"752",0,0
"28766",171,"752",0,0
"28776",181,"752",0,0
"28786",191,"752",0,0
"28796",201,"752",0,0
"28806",211,"752",0,0
"28816",221,"752",0,0
"28826",231,"752",0,0
"28836",241,"752",0,0
"28846",251,"752",0,0
"28856",261,"752",0,0
"28866",271,"752",0,0
"28876",281,"752",0,0
"28886",291,"752",0,0
"28895",300,"752",0,0
"28897",1,"88",0,0
"28907",11,"88",0,0
"28917",21,"88",0,0
"28927",31,"88",2,0.00109289617486339
"28937",41,"88",1,0.000555247084952804
"28947",51,"88",2,0.00107584722969338
"28957",61,"88",12,0.00681431005110733
"28967",71,"88",11,0.00651658767772512
"28977",81,"88",2,0.00106382978723404
"28987",91,"88",7,0.00394144144144144
"28997",101,"88",2,0.00105485232067511
"29007",111,"88",7,0.00408878504672897
"29017",121,"88",0,0
"29027",131,"88",0,0
"29037",141,"88",0,0
"29047",151,"88",0,0
"29057",161,"88",0,0
"29067",171,"88",0,0
"29077",181,"88",0,0
"29087",191,"88",0,0
"29097",201,"88",0,0
"29107",211,"88",0,0
"29117",221,"88",0,0
"29127",231,"88",0,0
"29137",241,"88",0,0
"29147",251,"88",0,0
"29157",261,"88",0,0
"29167",271,"88",0,0
"29177",281,"88",0,0
"29187",291,"88",0,0
"29196",300,"88",0,0
"29198",1,"93",0,0
"29208",11,"93",0,0
"29218",21,"93",0,0
"29228",31,"93",0,0
"29238",41,"93",1,0.000555247084952804
"29248",51,"93",0,0
"29258",61,"93",0,0
"29268",71,"93",0,0
"29278",81,"93",0,0
"29288",91,"93",0,0
"29298",101,"93",0,0
"29308",111,"93",0,0
"29318",121,"93",0,0
"29328",131,"93",0,0
"29338",141,"93",0,0
"29348",151,"93",0,0
"29358",161,"93",0,0
"29368",171,"93",0,0
"29378",181,"93",0,0
"29388",191,"93",0,0
"29398",201,"93",0,0
"29408",211,"93",0,0
"29418",221,"93",0,0
"29428",231,"93",0,0
"29438",241,"93",0,0
"29448",251,"93",0,0
"29458",261,"93",0,0
"29468",271,"93",0,0
"29478",281,"93",0,0
"29488",291,"93",0,0
"29497",300,"93",0,0
"29499",1,"95",0,0
"29509",11,"95",0,0
"29519",21,"95",0,0
"29529",31,"95",2,0.00109289617486339
"29539",41,"95",7,0.00388672959466963
"29549",51,"95",3,0.00161377084454008
"29559",61,"95",2,0.00113571834185122
"29569",71,"95",6,0.00355450236966825
"29579",81,"95",24,0.0127659574468085
"29589",91,"95",8,0.0045045045045045
"29599",101,"95",4,0.00210970464135021
"29609",111,"95",7,0.00408878504672897
"29619",121,"95",25,0.0134989200863931
"29629",131,"95",21,0.0115894039735099
"29639",141,"95",34,0.0192307692307692
"29649",151,"95",56,0.0309050772626932
"29659",161,"95",28,0.0158013544018059
"29669",171,"95",40,0.0223338916806253
"29679",181,"95",55,0.0319396051103368
"29689",191,"95",43,0.0233822729744426
"29699",201,"95",37,0.0206128133704735
"29709",211,"95",28,0.0153340635268346
"29719",221,"95",38,0.0207763805358119
"29729",231,"95",32,0.0193821926105391
"29739",241,"95",26,0.0138297872340426
"29749",251,"95",17,0.00974212034383954
"29759",261,"95",37,0.0195353748680042
"29769",271,"95",46,0.0239833159541189
"29779",281,"95",23,0.0126861555432984
"29789",291,"95",27,0.0149253731343284
"29798",300,"95",56,0.0297713981924508
"29800",1,"99",0,0
"29810",11,"99",0,0
"29820",21,"99",0,0
"29830",31,"99",1,0.000546448087431694
"29840",41,"99",24,0.0133259300388673
"29850",51,"99",24,0.0129101667563206
"29860",61,"99",60,0.0340715502555366
"29870",71,"99",84,0.0497630331753555
"29880",81,"99",60,0.0319148936170213
"29890",91,"99",33,0.0185810810810811
"29900",101,"99",20,0.0105485232067511
"29910",111,"99",14,0.00817757009345794
"29920",121,"99",30,0.0161987041036717
"29930",131,"99",26,0.0143487858719647
"29940",141,"99",51,0.0288461538461538
"29950",151,"99",44,0.0242825607064018
"29960",161,"99",22,0.0124153498871332
"29970",171,"99",39,0.0217755443886097
"29980",181,"99",28,0.016260162601626
"29990",191,"99",56,0.0304513322457858
"30000",201,"99",27,0.015041782729805
"30010",211,"99",19,0.0104052573932092
"30020",221,"99",25,0.0136686714051394
"30030",231,"99",7,0.00423985463355542
"30040",241,"99",4,0.00212765957446809
"30050",251,"99",1,0.000573065902578797
"30060",261,"99",12,0.00633579725448786
"30070",271,"99",6,0.00312825860271116
"30080",281,"99",22,0.012134583563155
"30090",291,"99",7,0.00386954118297402
"30099",300,"99",8,0.00425305688463583
"30101",1,"Other",0,0
"30111",11,"Other",0,0
"30121",21,"Other",0,0
"30131",31,"Other",1,0.000546448087431694
"30141",41,"Other",0,0
"30151",51,"Other",0,0
"30161",61,"Other",0,0
"30171",71,"Other",0,0
"30181",81,"Other",0,0
"30191",91,"Other",0,0
"30201",101,"Other",0,0
"30211",111,"Other",0,0
"30221",121,"Other",0,0
"30231",131,"Other",0,0
"30241",141,"Other",0,0
"30251",151,"Other",0,0
"30261",161,"Other",0,0
"30271",171,"Other",0,0
"30281",181,"Other",0,0
"30291",191,"Other",0,0
"30301",201,"Other",0,0
"30311",211,"Other",0,0
"30321",221,"Other",0,0
"30331",231,"Other",0,0
"30341",241,"Other",0,0
"30351",251,"Other",0,0
"30361",261,"Other",0,0
"30371",271,"Other",0,0
"30381",281,"Other",0,0
"30391",291,"Other",0,0
"30400",300,"Other",0,0
"30402",1,"Sus_OverTime",900,1
"30412",11,"Sus_OverTime",1313,1
"30422",21,"Sus_OverTime",1788,1
"30432",31,"Sus_OverTime",1781,0.973224043715847
"30442",41,"Sus_OverTime",1628,0.903942254303165
"30452",51,"Sus_OverTime",1633,0.878429263044648
"30462",61,"Sus_OverTime",1423,0.808063600227144
"30472",71,"Sus_OverTime",1331,0.788507109004739
"30482",81,"Sus_OverTime",1535,0.816489361702128
"30492",91,"Sus_OverTime",1471,0.828265765765766
"30502",101,"Sus_OverTime",1615,0.851793248945148
"30512",111,"Sus_OverTime",1397,0.816004672897196
"30522",121,"Sus_OverTime",1485,0.801835853131749
"30532",131,"Sus_OverTime",1454,0.80242825607064
"30542",141,"Sus_OverTime",1353,0.76527149321267
"30552",151,"Sus_OverTime",1430,0.789183222958057
"30562",161,"Sus_OverTime",1440,0.812641083521445
"30572",171,"Sus_OverTime",1412,0.788386376326075
"30582",181,"Sus_OverTime",1377,0.799651567944251
"30592",191,"Sus_OverTime",1522,0.827623708537249
"30602",201,"Sus_OverTime",1485,0.827298050139276
"30612",211,"Sus_OverTime",1532,0.838992332968237
"30622",221,"Sus_OverTime",1518,0.829961727720066
"30632",231,"Sus_OverTime",1389,0.841308298001211
"30642",241,"Sus_OverTime",1634,0.869148936170213
"30652",251,"Sus_OverTime",1547,0.886532951289398
"30662",261,"Sus_OverTime",1533,0.809398099260824
"30672",271,"Sus_OverTime",1549,0.807612095933264
"30682",281,"Sus_OverTime",1443,0.795918367346939
"30692",291,"Sus_OverTime",1435,0.793255942509674
"30701",300,"Sus_OverTime",1442,0.766613503455609
